time,mAP
1998.501856803894,35.77
1905.882491350174,36.03
1981.9824631214142,35.88
1971.350016593933,35.75
1938.6446540355682,36.09
2019.0460216999054,35.77
1942.6788573265076,36.03
2024.0394217967987,35.88
2008.871306180954,35.75
1931.5831654071808,36.09
2111.7000811100006,35.77
1866.996499300003,36.03
1917.2876660823822,35.88
1809.3142819404602,35.75
1836.8197481632233,36.09
1929.8390083312988,35.77
1926.9427003860474,36.03
1924.250349521637,35.88
1932.6189892292023,35.75
1945.0153546333313,36.09
1920.583726644516,35.77
1948.2785429954529,36.03
1915.8555808067322,35.88
1930.0153465270996,35.75
1985.1350123882294,36.09
