time,mAP
899.6337175369263,65.89
868.8596701622009,65.78
854.350563287735,65.92
844.8155617713928,65.83
867.2963111400604,66.05
890.4918591976166,65.89
891.6997289657593,65.78
850.6131377220154,65.92
868.4250040054321,65.83
847.7320244312286,66.05
1048.5936782360077,65.89
999.9060513973236,65.78
977.2703990936279,65.92
916.3157286643982,65.83
944.6934006214142,66.05
912.9928333759308,65.89
872.0160701274872,65.78
880.2003304958344,65.92
884.18860912323,65.83
845.1829605102539,66.05
877.4056034088135,65.89
844.0575883388519,65.78
818.0462734699249,65.92
820.1854727268219,65.83
845.083790063858,66.05
